Property Code,Unit Code,Last Updated,Office%,WH Lights,Office Lights,Elect. Panel,Sensors,Lights replaced by FP?,In unit meter,Submeter,Elec. Power VOLTS,Elec. Power AMPS,Elec. Connection,WH Heating,WH Conditioned ,WH Tonnage,Office Conditioned,Office Tonnage,HVAC Panel,Hazard usage,Hazard Materials ,Hazard Notes,# Drive ins ,# Dock Doord
"3tn00003",1       ,"2024-04-17 00:00:00",15,"Fluorescent","Fluorescent","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","",0,0
"3tn00003",2       ,"2024-10-07 00:00:00",0,"Fluorescent","Fluorescent","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","",0,0
"3tn00003",3       ,"2024-10-07 00:00:00",3,"LED","LED","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","",0,0
"3tn00003","4-5     ","2024-10-07 00:00:00",10,"LED","LED","Yes","No","No","Yes","No","120/240",400,"3 Phase","Gas Heaters","No",,"Yes",2.5,"Yes","No",,,,
"3tn00003",6       ,"2024-10-07 00:00:00",0,"Fluorescent","Fluorescent","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","",0,0
"3tn00003",7       ,"2024-10-07 00:00:00",5,"Fluorescent","Fluorescent","Yes","No","No","Yes","No","120/240",400,"3 Phase","Gas Heaters","No",0,"Yes",2.5,"Yes","No",,,,
"3tn00003",8       ,"2024-10-07 00:00:00",15,"LED","LED","Yes","No","Yes","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","",0,0
"3tn00004",1       ,"2024-04-15 00:00:00",24.8,"LED","LED","Yes","No","No","Yes","No","120/240",0,"Single","Gas Heaters","Yes",3,"Yes",2.5,"Yes","No","","",0,0
"3tn00005","1-5     ","2024-04-15 00:00:00",2,"Fluorescent","Fluorescent","Yes","No","No","Yes","No","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","",0,0
"3tn00005","4-7     ","2024-04-15 00:00:00",5,"Fluorescent","LED","Yes","No","No","Yes","No","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","",0,0
"3tn00005",6       ,"2024-04-15 00:00:00",2.5,"LED","LED","Yes","Yes","No","Yes","No","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","",0,0
"3fl00003",3330    ,"2024-04-17 00:00:00",7.6,"LED","Fluorescent","Yes","No","No","Yes","No","277/480",600,"3 Phase","None","Yes",17,"Yes",3.5,"Programmable","No","","",0,0
"xga3651c",3651    ,"2024-10-03 00:00:00",17,"LED","LED","No","No","No","Yes","No","120/208",400,"3 Phase","Gas Heaters","No",,"Yes",10,"No","No",,,,
"xga3651c","BB      ","2024-10-07 00:00:00",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,"N/A","N/A","N/A",0,"N/A",0,"N/A","N/A",,,0,0
"xil222ja",222     ,"2024-10-07 00:00:00",37,"Fluorescent","Fluorescent","No","No","No","Yes","No","120/208",400,"3 Phase","Gas Heaters","No",0,"Yes",24,"No","No",,,,
"xil222ja",224     ,"2024-10-07 00:00:00",41.1,"LED","LED","No","Yes","Yes","Yes","No","120/208",400,"3 Phase","Gas Heaters","No",0,"Yes",25,"No","No",,,,
"xga1585r","A       ","2024-04-17 00:00:00",21,"LED","LED","No","Yes","No","Yes","N/A","277/480",3200,"3 Phase","Gas Heaters","No",0,"Yes",37,"No","No","","",0,0
"xoh154co",154     ,"2024-10-07 00:00:00",18,"Fluorescent","Fluorescent","No","No","No","Yes","No","277/480",800,"3 Phase","Gas Heaters","No",0,"Yes",11,"No","No",,,,
"3ga00002",1       ,"2024-10-03 00:00:00",5,"Fluorescent","Fluorescent","No","No","No","Yes","No","277/480",400,"3 Phase","Gas Heaters","No",0,"Yes",,"Programmable","No",,,,
"3ga00002","F       ","2024-10-03 00:00:00",,"Fluorescent","LED","No","No","No","No","No","277/480",800,"3 Phase","Gas Heaters","No",,"Yes",,"Programmable","No",,,,
"3ga00002","N       ","2024-10-03 00:00:00",,"Fluorescent","LED","No","No","No","Yes","No","277/480",800,"3 Phase","Gas Heaters","No",,"Yes",,"Programmable","No",,,,
