customer_id,tenant_id,tenant_name,property_address,property_name,property_code,fund,naics,lease_id,credit_score,credit_score_date,parent_customer_id,tenant_risk,amendment_start_date,amendment_type,amendment_status
,t0001284,,"nan Memphis, TN 38141.0",5465 E Raines,3tn00007,3,,288065,,,,,,Renewal,Activated
,t0001294,,"nan Memphis, TN 38118.0",4133-4175 Senator St,3tn00016,3,,296393,,,,,,Original Lease,Activated
,t0001296,,"nan Memphis, TN 38118.0",4133-4175 Senator St,3tn00016,3,,297384,,,,,,Renewal,Activated
,t0001299,,"nan Memphis, TN 38118.0",4133-4175 Senator St,3tn00016,3,,273921,,,,,,Renewal,Activated
,t0001302,,"nan Memphis, TN 38115.0",5425 E Raines,3tn00008,3,,273933,,,,,,Termination,Activated
,t0001309,,"nan Memphis, TN 38118.0",4026-4080 Senator Street,3tn00013,3,,273919,,,,,,Renewal,Activated
,t0001315,,"nan Memphis, TN 38118.0",4026-4080 Senator Street,3tn00013,3,,273920,,,,,,Renewal,Activated
,t0001322,,"nan Lombard, IL 60148.0",1064 N Garfield,3il00008,3,,356987,,,,,,Original Lease,Activated
,t0001325,,"nan Lombard, IL 60148.0",1064 N Garfield,3il00008,3,,356989,,,,,,Original Lease,Activated
,t0001329,,"nan Morrow, GA 30260.0",1056 Personal Place,3ga00008,3,,308308,,,,,,Original Lease,Activated
,t0001341,,"nan Atlanta, GA 30318.0",2160 Hills Avenue,3ga00001,3,,274657,,,,,,Original Lease,Activated
,t0001350,,"nan Norcross, GA 30093.0",1400 Beaver Ruin Rd,3ga00011,3,,282563,,,,,,Renewal,Activated
,t0001351,,"nan Fairfield, NJ 7004.0",15 Gloria Lane,3nj00024,3,,367458,,,,,,Original Lease,Activated
,t0001352,,"nan Garland, TX 75042.0",1501 Kings Road,3tx00010,3,,278135,,,,,,Original Lease,Activated
,t0001363,,"nan Dallas, TX 75238.0",10755 Sanden Drive,3tx00014,3,,281878,,,,,,Original Lease,Activated
,t0001386,,"nan Allendale, NJ 7401.0",3 Pearl Court,3nj00012,3,,282689,,,,,,Original Lease,Activated
,t0001399,,"nan Folcroft, PA 19032.0",801 Primos Avenue,3pa00003,3,,297171,,,,,,Renewal,Activated
,t0001407,,"nan Charlotte, NC 28269.0",12140 Vance Davis,3nc00008,3,,296166,,,,,,Original Lease,Activated
,t0001411,,"nan Westville, NJ 8093.0",601 Ryan Avenue,3nj00027,3,,340937,,,,,,Original Lease,Activated
,t0001420,,"nan Dallas, TX 75238.0",10755 Sanden Drive,3tx00014,3,,304774,,,,,,Original Lease,Activated
,t0001430,,"nan Norristown, PA 19401.0",9 S. Forrest Avenue,3pa00001,3,,309706,,,,,,Original Lease,Activated
,t0001434,,"nan Torrance, CA 90503.0",605-655 Hawaii Avenue,3ca00001,3,,329732,,,,,,Renewal,Activated
,t0001442,,"nan Romeoville, IL 60446.0",1265 Naperville Drive,3il00013,3,,312252,,,,,,Original Lease,Activated
,t0001443,,"nan Columbia, MD 21045.0",9176 Red Branch,3md00001,3,,311827,,,,,,Original Lease,Activated
,t0001449,,"nan Richardson, TX 75081.0",1800-20 N Glenville Drive,3tx00015,3,,316451,,,,,,Original Lease,Activated
,t0001452,,"nan Somerset, NJ 8873.0",155 Pierce Street,3nj00028,3,,316536,,,,,,Original Lease,Activated
,t0001462,,"nan Carrollton, TX 75006.0",1101 Venture Ct.,3tx00011,3,,327829,,,,,,Original Lease,Activated
,t0001497,,"nan Ontario, CA 91761.0",1930 S. Rochester Avenue,3ca00005,3,,341087,,,,,,Original Lease,Activated
,t0001518,,"nan Memphis, TN 38118.0",3338-3352 Democrat,3tn00001,3,,311196,,,,,,Original Lease,Activated
,t0001553,,"nan Marietta, GA 30062.0",1775 West Oak Parkway,3ga00016,3,,371416,,,,,,Original Lease,Activated
,t0001560,,"nan Duluth, GA 30096.0",1965 Evergreen Boulevard,3ga00019,3,,370652,,,,,,Holdover,Activated
,t0001564,,"nan Duluth, GA 30096.0",1965 Evergreen Boulevard,3ga00019,3,,364628,,,,,,Original Lease,Activated
,t0001586,,"nan Orlando, FL 32822.0",6901 TPC Drive,3fl00027,3,,369302,,,,,,Original Lease,Activated
,t0001640,,"nan Rockaway, NJ 7866.0",400 Forge Way,3nj00034,3,,364665,,,,,,Original Lease,Activated
