amendment_hmy,property_code,tenant_id,amendment_status,amendment_sf,category,priority
115883,tnpop107,t0000301,Activated,2378,RENT_EXPECTED,CRITICAL
115884,tnpop107,t0000303,Activated,18788,RENT_EXPECTED,CRITICAL
115885,tnpop107,t0000304,Activated,3059,RENT_EXPECTED,CRITICAL
115886,tnpop107,t0000305,Activated,2324,RENT_EXPECTED,CRITICAL
115887,tnpop107,t0000309,Activated,1526,RENT_EXPECTED,CRITICAL
115888,tnpop107,t0000310,Activated,1425,RENT_EXPECTED,CRITICAL
115889,tnpop107,t0000311,Activated,890,RENT_EXPECTED,CRITICAL
115890,tnpop107,t0000314,Activated,671,RENT_EXPECTED,CRITICAL
115891,tnpop107,t0000315,Activated,1598,RENT_EXPECTED,CRITICAL
115892,tnpop107,t0000316,Activated,2313,RENT_EXPECTED,CRITICAL
115893,tnpop107,t0000318,Activated,833,RENT_EXPECTED,CRITICAL
115894,tnpop107,t0000306,Activated,3330,RENT_EXPECTED,CRITICAL
115895,tnpop107,t0000308,Activated,1053,RENT_EXPECTED,CRITICAL
115896,tnpop107,t0000321,Activated,1059,RENT_EXPECTED,CRITICAL
115897,tnpop107,t0000322,Activated,1098,RENT_EXPECTED,CRITICAL
115898,tnpop107,t0000323,Activated,655,RENT_EXPECTED,CRITICAL
115899,tnpop107,t0000324,Activated,2810,RENT_EXPECTED,CRITICAL
115900,tnpop107,t0000312,Activated,1600,RENT_EXPECTED,CRITICAL
115901,tnpop107,t0000313,Activated,3223,RENT_EXPECTED,CRITICAL
115902,tnpop107,t0000329,Activated,1680,RENT_EXPECTED,CRITICAL
115903,tnpop107,t0000330,Activated,2745,RENT_EXPECTED,CRITICAL
