record hmy,amendment hmy,tenant hmy,tenant code,property hmy,property code,unit hmy,unit name,dtleasefrom,dtleaseto,hoption,hproposal,binactive,dtinactive,hamendmentinactive,dtmovein,dtmoveout,snotes,dsqft,hmasterunit,bactive,hcondocontract,ipersontype,hcommmoveoutreason,hforeigndb,sextreference,hcopyfrom,ispastprimaryowner,hcommmlaoverride,trowversion,dtclose,dtaxestimate
11047,10653,9967,t0000762,3307,xtx10704,8045,10704,43831,44926,,,,,32932,37622,44926,,27300,0,0,,,,,,,,0,AAAAAAC5i4s=,,
32894,32932,9967,t0000762,3307,xtx10704,8045,10704,44927,46752,,,,,,44927,,,27300,0,0,,,,,,,,0,AAAAAAC5i7E=,,
11051,10657,9975,t0000764,1338,njrun150,310,B,44682,44734,,,,,115669,44682,44734,,4214,0,0,,,,,,,,0,AAAAAAGrPnc=,,
11057,10661,9976,t0000765,3308,xfl420sw,6530,C,44682,45565,,,,,81629,44682,45565,,8956,0,0,,,,,,,,0,AAAAAAE3P+A=,,
11211,10812,10100,t0000766,3376,xga9335i,8242,100,44669,45777,,,,,,44669,,,20080,0,0,,,,,,,,0,AAAAAADewQs=,,
11213,10814,10107,t0000767,3377,xil11697,8245,11697,44676,45808,,,,,119133,44676,45808,,48340,0,0,,,,,,,,0,AAAAAAHxX2A=,,
11214,10815,10108,t0000768,1689,xga265c,3026,265,44696,48410,,,,,,44696,,,82486,0,0,,,,,,,,0,AAAAAAEZ4DQ=,,
11260,10865,10155,t0000769,894,txmil005,224,5101,44593,44734,,,,,115658,44593,44734,,14600,0,0,,,,,,,,0,AAAAAAGrXSc=,,
32760,10867,10167,t0000770,1655,xnjcentr,2988,7055-1,44682,45231,,,,,55312,44682,45231,,20721,0,0,,,,,,,,0,AAAAAAC7bgs=,,
34203,10899,10195,t0000771,1584,xnjmway3,1539,A,44958,48610,,,,,,44958,,,10550,0,0,,,,,,,,0,AAAAAAB2RY0=,,
34204,10899,10195,t0000771,1584,xnjmway3,1544,B,44958,48610,,,,,,44958,,,21250,0,0,,,,,,,,0,AAAAAAB2RY4=,,
34205,10899,10195,t0000771,1584,xnjmway3,1545,C,44958,48610,,,,,,44958,,,10760,0,0,,,,,,,,0,AAAAAAB2RY8=,,
14213,10901,10200,t0000772,2725,xohcolu2,4574,3045,44823,46691,,,,,,44805,,,6330,0,0,,,,,,,,0,AAAAAAB4kVs=,,
14209,10902,10201,t0000773,2725,xohcolu2,4575,3055,44823,45961,,,,,119192,44823,45961,,5980,0,0,,,,,,,,0,AAAAAAHN4Eg=,,
118638,119192,10201,t0000773,2725,xohcolu2,4575,3055,45962,47057,,,,,,45962,,,5980,0,0,,,,,,,,0,AAAAAAHN4Es=,,
12393,10903,10202,t0000774,3368,xil1630b,9248,1630,44651,48304,,,,,,44651,,,40550,0,0,,,,,,,,0,AAAAAABfpNE=,,
12392,10904,10203,t0000775,3367,xil1600b,9247,1600,44651,48304,,,,,,44651,,,64216,0,0,,,,,,,,0,AAAAAACPqbI=,,
11359,10905,10205,t0000776,1610,gasto038,1537,4732,44713,44734,,,,,115659,44713,44734,,48941,0,0,,,,,,,,0,AAAAAAGrO1Y=,,
